Quality,#1 ID,#2 ID,#1 String,#2 String
1,1089874,1089925,PCCW's chief operating officer  Mike Butcher  and Alex Arena  the chief financial officer  will report directly to Mr So.,Current Chief Operating Officer Mike Butcher and Group Chief Financial Officer Alex Arena will report to So.
1,3019446,3019327,The world's two largest automakers said their U.S. sales declined more than predicted last month as a late summer sales frenzy caused more of an industry backlash than expected.,Domestic sales at both GM and No. 2 Ford Motor Co. declined more than predicted as a late summer sales frenzy prompted a larger-than-expected industry backlash.
1,1945605,1945824,According to the federal Centers for Disease Control and Prevention (news - web sites)  there were 19 reported cases of measles in the United States in 2002.,The Centers for Disease Control and Prevention said there were 19 reported cases of measles in the United States in 2002.
0,1430402,1430329,A tropical storm rapidly developed in the Gulf of Mexico Sunday and was expected to hit somewhere along the Texas or Louisiana coasts by Monday night.,A tropical storm rapidly developed in the Gulf of Mexico on Sunday and could have hurricane-force winds when it hits land somewhere along the Louisiana coast Monday night.
0,3354381,3354396,The company didn't detail the costs of the replacement and repairs.,But company officials expect the costs of the replacement work to run into the millions of dollars.
1,1390995,1391183,The settling companies would also assign their possible claims against the underwriters to the investor plaintiffs  he added.,Under the agreement  the settling companies will also assign their potential claims against the underwriters to the investors  he added.
0,2201401,2201285,Air Commodore Quaife said the Hornets remained on three-minute alert throughout the operation.,Air Commodore John Quaife said the security operation was unprecedented.
1,2453843,2453998,A Washington County man may have the countys first human case of West Nile virus  the health department said Friday.,The countys first and only human case of West Nile this year was confirmed by health officials on Sept. 8.
1,1756630,1756502,Moseley and a senior aide delivered their summary assessments to about 300 American and allied military officers on Thursday.,General Moseley and a senior aide presented their assessments at an internal briefing for American and allied military officers at Nellis Air Force Base in Nevada on Thursday.
0,938878,938896,The broader Standard & Poor's 500 Index <.SPX> was 0.46 points lower  or 0.05 percent  at 997.02.,The technology-laced Nasdaq Composite Index .IXIC was up 7.42 points  or 0.45 percent  at 1 653.44.
1,2357153,2357114,Consumers would still have to get a descrambling security card from their cable operator to plug into the set.,To watch pay television  consumers would insert into the set a security card provided by their cable service.
1,2760337,2760373,The increase reflects lower credit losses and favorable interest rates.,The gain came as a result of fewer credit losses and lower interest rates.
1,3447768,3447857,The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.,The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.
